ID	DrugID
9125	2026
9132	2026
9139	2026
9230	2026
9237	2026
9244	2026
9263	2026
9270	2026
9277	2026
9284	2026
9291	2026
9298	2026
9503	2026
9510	2026
9517	2026
9794	2026
9801	2026
9808	2026
9845	2026
9852	2026
9859	2026
9889	2026
9896	2026
9903	2026
9910	2026
9917	2026
9924	2026
9934	2026
9941	2026
9948	2026
10000	2026
10007	2026
10014	2026
10210	2026
10217	2026
10224	2026
10249	2026
10256	2026
10263	2026
10385	2026
10392	2026
10399	2026
10797	2026
10804	2026
10811	2026
10818	2026
10825	2026
10832	2026
10839	2026
10846	2026
10853	2026
10860	2026
10867	2026
10874	2026
10881	2026
10888	2026
10895	2026
10902	2026
10909	2026
10916	2026
10923	2026
10930	2026
12800	2026
12807	2026
12814	2026
12821	2026
12828	2026
12856	2026
12863	2026
12870	2026
12877	2026
12884	2026
12891	2026
12898	2026
12905	2026
12912	2026
13060	2026
13067	2026
13074	2026
14727	2026
14734	2026
14741	2026
4045	2966
4052	2966
4059	2966
4906	2966
4913	2966
4920	2966
4927	2966
4934	2966
4941	2966
4948	2966
4955	2966
4962	2966
6934	2966
6935	2966
6936	2966
6958	2966
6959	2966
6960	2966
7996	2966
8003	2966
8010	2966
8017	2966
8024	2966
8031	2966
8038	2966
8045	2966
8052	2966
8167	2966
8174	2966
8181	2966
8268	2966
8270	2966
8272	2966
8274	2966
8276	2966
8278	2966
8365	2966
8372	2966
8379	2966
8761	2966
8768	2966
8775	2966
8782	2966
8789	2966
8796	2966
8803	2966
8810	2966
8817	2966
8824	2966
8831	2966
8838	2966
8845	2966
8852	2966
8859	2966
8866	2966
8873	2966
8986	2966
8993	2966
9000	2966
9007	2966
9014	2966
9021	2966
9028	2966
9035	2966
9042	2966
9049	2966
9056	2966
9063	2966
9070	2966
9077	2966
9126	2966
9133	2966
9140	2966
9231	2966
9238	2966
9245	2966
9264	2966
9271	2966
9278	2966
9285	2966
9292	2966
9299	2966
9504	2966
9511	2966
9518	2966
9795	2966
9802	2966
9809	2966
9846	2966
9853	2966
9860	2966
9890	2966
9897	2966
9904	2966
9911	2966
9918	2966
9925	2966
9935	2966
9942	2966
9949	2966
10001	2966
10008	2966
10015	2966
10211	2966
10218	2966
10225	2966
10250	2966
10257	2966
10264	2966
10386	2966
10393	2966
10400	2966
10798	2966
10805	2966
10812	2966
10819	2966
10826	2966
10833	2966
10840	2966
10847	2966
10854	2966
10861	2966
10868	2966
10875	2966
10882	2966
10889	2966
10896	2966
10903	2966
10910	2966
10917	2966
10924	2966
10931	2966
12801	2966
12808	2966
12815	2966
12822	2966
12829	2966
12857	2966
12864	2966
12871	2966
12878	2966
12885	2966
12892	2966
12899	2966
12906	2966
12913	2966
13061	2966
13068	2966
13075	2966
14430	2966
14434	2966
14438	2966
14728	2966
14735	2966
14742	2966
4046	3060
4053	3060
4060	3060
4907	3060
4914	3060
4921	3060
4928	3060
4935	3060
4942	3060
4949	3060
4956	3060
4963	3060
6683	3060
6684	3060
6685	3060
6943	3060
6944	3060
6945	3060
6955	3060
6956	3060
6957	3060
7997	3060
8004	3060
8011	3060
8018	3060
8025	3060
8032	3060
8039	3060
8046	3060
8053	3060
8168	3060
8175	3060
8182	3060
8366	3060
8373	3060
8380	3060
8669	3060
8670	3060
8671	3060
8672	3060
8673	3060
8674	3060
8675	3060
8676	3060
8677	3060
8717	3060
8718	3060
8719	3060
8762	3060
8769	3060
8776	3060
8783	3060
8790	3060
8797	3060
8804	3060
8811	3060
8818	3060
8825	3060
8832	3060
8839	3060
8846	3060
8853	3060
8860	3060
8867	3060
8874	3060
8987	3060
8994	3060
9001	3060
9008	3060
9015	3060
9022	3060
9029	3060
9036	3060
9043	3060
9050	3060
9057	3060
9064	3060
9071	3060
9078	3060
9127	3060
9134	3060
9141	3060
9232	3060
9239	3060
9246	3060
9265	3060
9272	3060
9279	3060
9286	3060
9293	3060
9300	3060
9505	3060
9512	3060
9519	3060
9796	3060
9803	3060
9810	3060
9847	3060
9854	3060
9861	3060
9891	3060
9898	3060
9905	3060
9912	3060
9919	3060
9926	3060
9936	3060
9943	3060
9950	3060
10002	3060
10009	3060
10016	3060
10110	3060
10111	3060
10112	3060
10212	3060
10219	3060
10226	3060
10251	3060
10258	3060
10265	3060
10387	3060
10394	3060
10401	3060
10420	3060
10421	3060
10422	3060
10502	3060
10503	3060
10504	3060
10544	3060
10545	3060
10546	3060
10694	3060
10695	3060
10696	3060
10697	3060
10698	3060
10699	3060
10799	3060
10806	3060
10813	3060
10820	3060
10827	3060
10834	3060
10841	3060
10848	3060
10855	3060
10862	3060
10869	3060
10876	3060
10883	3060
10890	3060
10897	3060
10904	3060
10911	3060
10918	3060
10925	3060
10932	3060
12802	3060
12809	3060
12816	3060
12823	3060
12830	3060
12858	3060
12865	3060
12872	3060
12879	3060
12886	3060
12893	3060
12900	3060
12907	3060
12914	3060
13062	3060
13069	3060
13076	3060
14729	3060
14736	3060
14743	3060
15833	3060
15835	3060
15837	3060
4064	615
4065	615
4066	615
4159	615
4160	615
4161	615
4206	615
4207	615
4208	615
4242	3174
4243	3174
4244	3174
6403	3174
6404	3174
6405	3174
6526	3174
6527	3174
6528	3174
6602	3174
6603	3174
6604	3174
10529	3174
10530	3174
10531	3174
10634	3174
10635	3174
10636	3174
11931	3174
11932	3174
11933	3174
12981	3174
12982	3174
12983	3174
12984	3174
12985	3174
12986	3174
13077	3174
13078	3174
13079	3174
16060	3174
16064	3174
16068	3174
17192	3174
17193	3174
17194	3174
4245	1159
4246	1159
4247	1159
4284	1111
4285	1111
4286	1111
4290	2717
4291	2717
4292	2717
4293	2717
4294	2717
4295	2717
4296	2717
4297	2717
4298	2717
4446	2200
4447	2200
4448	2200
18088	2200
18089	2200
18090	2200
28353	2200
28354	2200
28355	2200
4464	1761
4465	1761
4466	1761
4470	3917
4471	3917
4472	3917
4512	991
4513	991
4514	991
4677	991
4678	991
4679	991
7516	991
7517	991
7518	991
7949	991
7950	991
7951	991
7952	991
7953	991
7954	991
7955	991
7956	991
7957	991
10435	991
10436	991
10437	991
10438	991
10439	991
10440	991
10565	991
10566	991
10567	991
10574	991
10575	991
10576	991
11910	991
11911	991
11912	991
11913	991
11914	991
11915	991
11916	991
11917	991
11918	991
12420	991
12421	991
12422	991
